trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,0,49,0,96.36871780001093,,96.35754360002466,96.36871780001093,97.36862960003782,97.36862960003782,97.86994960001903,up,1,0.494247600028757,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
50,0,50,0,97.88496260001557,,97.87277630000608,97.88496260001557,98.88513730000705,98.88513730000705,99.43638270004885,up,1,0.5386383999721147,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
51,0,51,0,99.45181960001355,,99.43809660000261,99.45181960001355,100.451600600034,100.451600600034,100.98615650000283,up,1,0.5196050000376999,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
52,0,52,0,101.0015736000496,,100.98848220001673,101.0015736000496,102.00146680005128,102.00146680005128,102.73598930001026,up,1,0.7243371999938972,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
53,0,53,0,102.75120720005361,,102.73804590001237,102.75120720005361,103.75153320003301,103.75153320003301,104.41935820004437,up,1,0.6526033999980427,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
54,0,54,0,104.43427570001222,,104.42047110002022,104.43427570001222,105.43427650001831,105.43427650001831,106.18625349999638,down,1,0.745209899963811,None,3,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
55,0,55,0,106.20090210001217,,106.18783080001594,106.20090210001217,107.20064130000537,107.20064130000537,108.26845500001218,up,1,1.0591914999531582,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
56,0,56,0,108.28385730000446,,108.27027170005022,108.28385730000446,109.28359320003074,109.28359320003074,110.0017723000492,down,1,0.7141018999973312,None,-5,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
57,0,57,0,110.01663130003726,,110.00449130003108,110.01663130003726,111.01683600002434,111.01683600002434,111.83474080002634,up,1,0.8160451999865472,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
58,0,58,0,111.84967880003387,,111.8370723000262,111.84967880003387,112.8499690000317,112.8499690000317,113.76798230002169,up,1,0.9040060000261292,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
59,0,59,0,113.78308270004345,,113.77025670005241,113.78308270004345,114.78276810003445,114.78276810003445,115.53408190002665,up,1,0.7480121999979019,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
