9.4175 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=155, pos=array([-0.20314075, -0.30151742]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
9.4175 	EXP 	window1: mouseVisible = False
9.4191 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=28, pos=array([-0.44379159, -0.35536536]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
9.4192 	EXP 	window1: mouseVisible = False
9.4210 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=76, pos=array([0.47874444, 0.4350716 ]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
9.4211 	EXP 	window1: mouseVisible = False
9.4232 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=72, pos=array([-0.21220659,  0.0469077 ]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
9.4233 	EXP 	window1: mouseVisible = False
9.4248 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=271, pos=array([-0.26664068, -0.2900983 ]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
9.4249 	EXP 	window1: mouseVisible = False
9.4264 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=145, pos=array([ 0.09566305, -0.08525104]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
9.4265 	EXP 	window1: mouseVisible = False
9.4281 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=144, pos=array([-0.32524719,  0.13276111]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
9.4370 	EXP 	fixation: autoDraw = False
9.4370 	EXP 	target: autoDraw = False
9.4370 	EXP 	distr: autoDraw = False
9.4370 	EXP 	distr: autoDraw = False
9.4370 	EXP 	distr: autoDraw = False
9.4370 	EXP 	distr: autoDraw = False
9.4370 	EXP 	distr: autoDraw = False
9.4370 	EXP 	distr: autoDraw = True
9.4370 	EXP 	distr: autoDraw = True
9.4370 	EXP 	distr: autoDraw = True
9.4370 	EXP 	distr: autoDraw = True
