thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
68,0,68,[-0.058],[0.378],[1],[0],[0],[2.6618311000056565],['target'],68,0,68,0,146.6444759001024,,10,146.6335984999314,146.6444759001024,146.6444759001024,0.020017500035464764,149.29586059995927,[-0.058],[0.378],[1],[0],[0],[2.6618311000056565],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
69,0,69,[-0.212],[0.466],[1],[0],[0],[2.3066315001342446],['target'],69,0,69,0,149.32734360010363,,5,149.30582139990292,149.32734360010363,149.32734360010363,0.009763800073415041,151.61285059992224,[-0.212],[0.466],[1],[0],[0],[2.3066315001342446],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
70,0,70,[0.296],[-0.008],[1],[0],[0],[1.879052700009197],['target'],70,0,70,0,151.64375240006484,,10,151.6322931998875,151.64375240006484,151.64375240006484,0.019334900192916393,153.5116828000173,[0.296],[-0.008],[1],[0],[0],[1.879052700009197],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
71,0,71,[0.33],[-0.154],[1],[0],[0],[1.7102621998637915],['target'],71,0,71,0,153.52746140002273,,5,153.52024440001696,153.52746140002273,153.52746140002273,0.00844189990311861,155.23099670000374,[0.33],[-0.154],[1],[0],[0],[1.7102621998637915],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
72,0,72,[0.4],[-0.428],[1],[0],[0],[3.445993300061673],['target'],72,0,72,0,155.26027609989978,,10,155.2492533000186,155.26027609989978,155.26027609989978,0.018114800099283457,158.69559539994225,[0.4],[-0.428],[1],[0],[0],[3.445993300061673],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
73,0,73,[0.352],[0.062],[1],[0],[0],[1.8127366001717746],['target'],73,0,73,0,158.7262806999497,,10,158.71554420003667,158.7262806999497,158.7262806999497,0.019846900133416057,160.52883909991942,[0.352],[0.062],[1],[0],[0],[1.8127366001717746],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
74,0,74,[0.43],[0.058],[1],[0],[0],[1.276009100023657],['target'],74,0,74,0,160.55968869989738,,5,160.53745639999397,160.55968869989738,160.55968869989738,0.008504300145432353,161.81394829996862,[0.43],[0.058],[1],[0],[0],[1.276009100023657],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
75,0,75,[0.244],[-0.164],[1],[0],[0],[1.6942074000835419],['target'],75,0,75,0,161.84264210006222,,10,161.83413579990156,161.84264210006222,161.84264210006222,0.020031800027936697,163.5286902000662,[0.244],[-0.164],[1],[0],[0],[1.6942074000835419],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
76,0,76,[-0.062],[-0.354],[1],[0],[0],[2.0424233998637646],['target'],76,0,76,0,163.5586804000195,,5,163.53723610006273,163.5586804000195,163.5586804000195,0.008450800087302923,165.58039860008284,[-0.062],[-0.354],[1],[0],[0],[2.0424233998637646],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
77,0,77,[-0.196],[-0.162],[1],[0],[0],[2.034650299930945],['target'],77,0,77,0,165.6091569000855,,5,165.59207009989768,165.6091569000855,165.6091569000855,0.011460999958217144,167.62710439995863,[-0.196],[-0.162],[1],[0],[0],[2.034650299930945],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
